item name,size,colour,shape,status
Papaya,small,dull,oval,organic
Papaya,large,vibrant,round,fertilized
Papaya,large,vibrant,oval,fertilized
Pomegranate,large,irregular,oval,fertilized
Sapota,large,vibrant,oval,fertilized
Pomegranate,large,vibrant,oval,fertilized
Beetroot,medium,vibrant,oval,fertilized
Mango,medium,dull,oval,organic
Onion,large,dull,round,fertilized
Guava,medium,vibrant,round,organic
Garlic,medium,vibrant,round,fertilized
Carrot,large,vibrant,round,fertilized
Banana,medium,vibrant,oval,fertilized
Orange,large,dull,round,organic
Carrot,small,vibrant,elongated,organic
Pomegranate,medium,vibrant,elongated,fertilized
Garlic,medium,neutral,oval,organic
Pomegranate,large,vibrant,oval,fertilized
Orange,medium,vibrant,oval,fertilized
Beetroot,small,dull,elongated,organic
Pomegranate,large,vibrant,round,fertilized
Brinjal,large,dull,round,fertilized
Papaya,medium,irregular,irregular,organic
Onion,medium,neutral,round,organic
Mango,large,dull,elongated,fertilized
Guava,large,vibrant,oval,fertilized
Grapes,small,neutral,oval,fertilized
Mango,large,vibrant,round,fertilized
Beetroot,medium,vibrant,round,fertilized
Pomegranate,medium,vibrant,irregular,fertilized
Pomegranate,small,dull,elongated,organic
Beetroot,small,dull,oval,organic
Pomegranate,small,neutral,round,organic
Ivy gourd,large,vibrant,round,fertilized
Banana,large,vibrant,irregular,fertilized
Pomegranate,large,vibrant,oval,fertilized
Pomegranate,large,vibrant,oval,fertilized
Onion,small,vibrant,irregular,organic
Beetroot,small,vibrant,elongated,organic
Ivy gourd,medium,vibrant,oval,fertilized
Mango,large,vibrant,round,fertilized
Apple,small,neutral,elongated,organic
Orange,medium,neutral,round,fertilized
Ivy gourd,medium,neutral,round,fertilized
Carrot,small,dull,oval,organic
Orange,small,neutral,elongated,organic
Orange,small,dull,elongated,organic
Beetroot,medium,neutral,round,organic
Banana,small,dull,round,organic
Banana,small,vibrant,oval,fertilized
Apple,medium,vibrant,oval,fertilized
Apple,large,vibrant,oval,fertilized
Ivy gourd,large,vibrant,irregular,fertilized
Papaya,large,vibrant,oval,fertilized
Garlic,medium,dull,round,organic
Banana,medium,dull,elongated,organic
Sapota,medium,neutral,oval,organic
Carrot,large,vibrant,round,fertilized
Ivy gourd,large,vibrant,round,fertilized
Brinjal,medium,vibrant,round,fertilized
Sapota,large,vibrant,oval,fertilized
Orange,large,vibrant,irregular,organic
Banana,large,vibrant,round,fertilized
Papaya,small,dull,oval,organic
Banana,small,dull,irregular,organic
Grapes,large,vibrant,oval,fertilized
Mango,medium,irregular,oval,fertilized
Garlic,small,dull,irregular,organic
Beetroot,medium,irregular,oval,organic
Sapota,medium,vibrant,round,fertilized
Papaya,medium,vibrant,elongated,organic
Orange,medium,irregular,irregular,organic
Mango,large,irregular,oval,fertilized
Carrot,medium,vibrant,round,fertilized
Brinjal,medium,irregular,elongated,fertilized
Pomegranate,large,vibrant,round,fertilized
Brinjal,medium,dull,round,organic
Beetroot,large,vibrant,oval,fertilized
Beetroot,medium,neutral,round,organic
Apple,small,dull,irregular,organic
Apple,large,neutral,oval,fertilized
Apple,medium,vibrant,elongated,fertilized
Onion,large,neutral,round,fertilized
Orange,large,neutral,oval,fertilized
Garlic,small,vibrant,oval,organic
Mango,small,neutral,oval,organic
Sapota,small,vibrant,elongated,fertilized
Orange,large,neutral,oval,organic
Ivy gourd,medium,irregular,oval,organic
Garlic,medium,dull,round,organic
Garlic,large,dull,oval,fertilized
Sapota,small,vibrant,irregular,fertilized
